United States|United States|1|United States
United Kingdom|United Kingdom|1|United Kingdom
Canada|Canada|1|Canada
Germany|Germany|1|Germany
Italy|Italy|1|Italy
Sweden|Sweden|1|Sweden
Switzerland|Switzerland|1|Switzerland
Afghanistan|Afghanistan|1|Afghanistan
Albania|Albania|1|Albania
Algeria|Algeria|1|Algeria
Andorra|Andorra|1|Andorra
Angola|Angola|1|Angola
Antigua and Barbuda|Antigua and Barbuda|1|Antigua and Barbuda
Argentina|Argentina|1|Argentina
Armenia|Armenia|1|Armenia
Australia|Australia|1|Australia
Austria|Austria|1|Austria
Azerbaijan|Azerbaijan|1|Azerbaijan
Bahamas|Bahamas|1|Bahamas
Bahrain|Bahrain|1|Bahrain
Bangladesh|Bangladesh|1|Bangladesh
Barbados|Barbados|1|Barbados
Belarus|Belarus|1|Belarus
Belgium|Belgium|1|Belgium
Belize|Belize|1|Belize
Benin|Benin|1|Benin
Bhutan|Bhutan|1|Bhutan
Bolivia|Bolivia|1|Bolivia
Bosnia|Bosnia|1|Bosnia
Botswana|Botswana|1|Botswana
Brazil|Brazil|1|Brazil
Brunei|Brunei|1|Brunei
Bulgaria|Bulgaria|1|Bulgaria
Burkina Faso|Burkina Faso|1|Burkina Faso
Burundi|Burundi|1|Burundi
Cambodia|Cambodia|1|Cambodia
Cameroon|Cameroon|1|Cameroon
Canada|Canada|1|Canada
Cape Verde|Cape Verde|1|Cape Verde
Central African Republic|Central African Republic|1|Central African Republic
Chad|Chad|1|Chad
Chile|Chile|1|Chile
China|China|1|China
Colombia|Colombia|1|Colombia
Comoros|Comoros|1|Comoros
Congo|Congo|1|Congo
Costa Rica|Costa Rica|1|Costa Rica
Croatia|Croatia|1|Croatia
Cuba|Cuba|1|Cuba
Cyprus|Cyprus|1|Cyprus
Czech Republic|Czech Republic|1|Czech Republic
Côte d'Ivoire|Côte d'Ivoire|1|Côte d'Ivoire
Denmark|Denmark|1|Denmark
Djibouti|Djibouti|1|Djibouti
Dominica|Dominica|1|Dominica
Dominican Republic|Dominican Republic|1|Dominican Republic
Ecuador|Ecuador|1|Ecuador
Egypt|Egypt|1|Egypt
El Salvador|El Salvador|1|El Salvador
Equatorial Guinea|Equatorial Guinea|1|Equatorial Guinea
Eritrea|Eritrea|1|Eritrea
Estonia|Estonia|1|Estonia
Ethiopia|Ethiopia|1|Ethiopia
Fiji|Fiji|1|Fiji
Finland|Finland|1|Finland
France|France|1|France
Gabon|Gabon|1|Gabon
Gambia|Gambia|1|Gambia
Georgia|Georgia|1|Georgia
Germany|Germany|1|Germany
Ghana|Ghana|1|Ghana
Greece|Greece|1|Greece
Grenada|Grenada|1|Grenada
Guatemala|Guatemala|1|Guatemala
Guinea|Guinea|1|Guinea
Guinea-Bissau|Guinea-Bissau|1|Guinea-Bissau
Guyana|Guyana|1|Guyana
Haiti|Haiti|1|Haiti
Honduras|Honduras|1|Honduras
Hungary|Hungary|1|Hungary
Iceland|Iceland|1|Iceland
India|India|1|India
Indonesia|Indonesia|1|Indonesia
Iran|Iran|1|Iran
Iraq|Iraq|1|Iraq
Ireland|Ireland|1|Ireland
Israel|Israel|1|Israel
Italy|Italy|1|Italy
Jamaica|Jamaica|1|Jamaica
Japan|Japan|1|Japan
Jordan|Jordan|1|Jordan
Kazakhstan|Kazakhstan|1|Kazakhstan
Kenya|Kenya|1|Kenya
Kiribati|Kiribati|1|Kiribati
Korea, North|Korea, North|1|Korea, North
Korea, South|Korea, South|1|Korea, South
Kuwait|Kuwait|1|Kuwait
Kyrgyzstan|Kyrgyzstan|1|Kyrgyzstan
Laos|Laos|1|Laos
Latvia|Latvia|1|Latvia
Lebanon|Lebanon|1|Lebanon
Lesotho|Lesotho|1|Lesotho
Liberia|Liberia|1|Liberia
Libya|Libya|1|Libya
Liechtenstein|Liechtenstein|1|Liechtenstein
Lithuania|Lithuania|1|Lithuania
Luxembourg|Luxembourg|1|Luxembourg
Macedonia|Macedonia|1|Macedonia
Madagascar|Madagascar|1|Madagascar
Malawi|Malawi|1|Malawi
Malaysia|Malaysia|1|Malaysia
Maldives|Maldives|1|Maldives
Mali|Mali|1|Mali
Malta|Malta|1|Malta
Marshall Islands|Marshall Islands|1|Marshall Islands
Mauritania|Mauritania|1|Mauritania
Mauritius|Mauritius|1|Mauritius
Mexico|Mexico|1|Mexico
Micronesia|Micronesia|1|Micronesia
Moldova|Moldova|1|Moldova
Monaco|Monaco|1|Monaco
Mongolia|Mongolia|1|Mongolia
Morocco|Morocco|1|Morocco
Mozambique|Mozambique|1|Mozambique
Myanmar|Myanmar|1|Myanmar
Namibia|Namibia|1|Namibia
Nauru|Nauru|1|Nauru
Nepal|Nepal|1|Nepal
Netherlands|Netherlands|1|Netherlands
New Zealand|New Zealand|1|New Zealand
Nicaragua|Nicaragua|1|Nicaragua
Niger|Niger|1|Niger
Nigeria|Nigeria|1|Nigeria
Norway|Norway|1|Norway
Oman|Oman|1|Oman
Pakistan|Pakistan|1|Pakistan
Palau|Palau|1|Palau
Panama|Panama|1|Panama
Papua New Guinea|Papua New Guinea|1|Papua New Guinea
Paraguay|Paraguay|1|Paraguay
Peru|Peru|1|Peru
Philippines|Philippines|1|Philippines
Poland|Poland|1|Poland
Portugal|Portugal|1|Portugal
Qatar|Qatar|1|Qatar
Romania|Romania|1|Romania
Russia|Russia|1|Russia
Rwanda|Rwanda|1|Rwanda
Saint Kitts|Saint Kitts|1|Saint Kitts
Saint Lucia|Saint Lucia|1|Saint Lucia
Saint Vincent|Saint Vincent|1|Saint Vincent
Samoa|Samoa|1|Samoa
San Marino|San Marino|1|San Marino
Sao Tome|Sao Tome|1|Sao Tome
Saudi Arabia|Saudi Arabia|1|Saudi Arabia
Senegal|Senegal|1|Senegal
Seychelles|Seychelles|1|Seychelles
Sierra Leone|Sierra Leone|1|Sierra Leone
Singapore|Singapore|1|Singapore
Slovakia|Slovakia|1|Slovakia
Slovenia|Slovenia|1|Slovenia
Solomon Islands|Solomon Islands|1|Solomon Islands
Somalia|Somalia|1|Somalia
South Africa|South Africa|1|South Africa
Spain|Spain|1|Spain
Sri Lanka|Sri Lanka|1|Sri Lanka
Sudan|Sudan|1|Sudan
Suriname|Suriname|1|Suriname
Swaziland|Swaziland|1|Swaziland
Sweden|Sweden|1|Sweden
Switzerland|Switzerland|1|Switzerland
Syria|Syria|1|Syria
Taiwan|Taiwan|1|Taiwan
Tajikistan|1|Tajikistan
Tajikistan|Tanzania|1|Tanzania
Thailand|Thailand|1|Thailand
Togo|Togo|1|Togo
Tonga|Tonga|1|Tonga
Trinidad|Trinidad|1|Trinidad
